eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,OwnerInstitutionCode,plot,habitat
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Barbastellus barbastellus,animalia,chordata,mammalia,chiroptera,vespertilionidae,barbastella,B. barbastellus,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Eptesicus serotinus,animalia,chordata,mammalia,chiroptera,vespertilionidae,eptesicus,E. serotinus,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis daubentonii,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. daubentonii,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis mystacinus,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. mystacinus,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis nattereri,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. nattereri,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Nyctalus leisleri,animalia,chordata,mammalia,chiroptera,vespertilionidae,nyctalus,N. leisleri,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Nyctalus noctula,animalia,chordata,mammalia,chiroptera,vespertilionidae,nyctalus,N. noctula,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus nathusii,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. nathusii,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus pipistrellus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pipistrellus,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus pygmaeus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pygmaeus,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Plecotus auritus,animalia,chordata,mammalia,chiroptera,vespertilionidae,plecotus,P. auritus,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Plecotus austriacus,animalia,chordata,mammalia,chiroptera,vespertilionidae,plecotus,P. austriacus,Na,species,EM&PM,event,Na,south,woodland
SouthN1Bats,Na,AudioMoth recordings,Na,Na,Na,present,Rhinolophus hipposideros,animalia,chordata,mammalia,chiroptera,vespertilionidae,rhinolophus,R. hipposideros,Na,species,EM&PM,event,Na,south,woodland
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Nyctalus noctula,animalia,chordata,mammalia,chiroptera,vespertilionidae,nyctalus,N. noctula,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Nyctalus leisleri,animalia,chordata,mammalia,chiroptera,vespertilionidae,nyctalus,N. leisleri,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis nattereri,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. nattereri,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis mystacinus,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. mystacinus,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis daubentonii,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. daubentonii,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Eptesicus serotinus,animalia,chordata,mammalia,chiroptera,vespertilionidae,eptesicus,E. serotinus,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Barbastellus barbastellus,animalia,chordata,mammalia,chiroptera,vespertilionidae,barbastella,B. barbastellus,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus pipistrellus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pipistrellus,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus nathusii,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pipistrellus,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Rhinolophus ferrumequinum,animalia,chordata,mammalia,chiroptera,vespertilionidae,rhinolophus,R. hipposideros,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Plecotus austriacus,animalia,chordata,mammalia,chiroptera,vespertilionidae,plecotus,P. austriacus,Na,species,EM&PM,event,Na,south,riparian
SouthN2Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus pygmaeus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pygmaeus,Na,species,EM&PM,event,Na,south,riparian
NorthN3Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis nattereri,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. nattereri,Na,species,EM&PM,event,Na,north,riparian
NorthN3Bats,Na,AudioMoth recordings,Na,Na,Na,present,Nyctalus leisleri,animalia,chordata,mammalia,chiroptera,vespertilionidae,nyctalus,N. leisleri,Na,species,EM&PM,event,Na,north,riparian
NorthN3Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus pipistrellus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pipistrellus,Na,species,EM&PM,event,Na,north,riparian
NorthN3Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus pygmaeus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pygmaeus,Na,species,EM&PM,event,Na,north,riparian
NorthN3Bats,Na,AudioMoth recordings,Na,Na,Na,present,Plecotus austriacus,animalia,chordata,mammalia,chiroptera,vespertilionidae,plecotus,P. austriacus,Na,species,EM&PM,event,Na,north,riparian
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis alcathoe,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. alcathoe,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis bechsteinii,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. bechsteinii,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis brandtii,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. brandtii,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis daubentonii,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. daubentonii,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis mystacinus,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. mystacinus,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Myotis nattereri,animalia,chordata,mammalia,chiroptera,vespertilionidae,myotis,M. nattereri,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Nyctalus leisleri,animalia,chordata,mammalia,chiroptera,vespertilionidae,nyctalus,N. leisleri,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Nyctalus noctula,animalia,chordata,mammalia,chiroptera,vespertilionidae,nyctalus,N. noctula,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus nathusii,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. nathusii,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus pipistrellus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pipistrellus,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Pipistrellus pygmaeus,animalia,chordata,mammalia,chiroptera,vespertilionidae,pipistrellus,P. pygmaeus,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Plecotus auritus,animalia,chordata,mammalia,chiroptera,vespertilionidae,plecotus,P. auritus,Na,species,EM&PM,event,Na,north,woodland
NorthN4Bats,Na,AudioMoth recordings,Na,Na,Na,present,Plecotus austriacus,animalia,chordata,mammalia,chiroptera,vespertilionidae,plecotus,P. austriacus,Na,species,EM&PM,event,Na,north,woodland
