eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutinCode,plot,transect
n3birds,Na,HumanObservation,7,7,individuals,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,Na,species,MH,Event,Na,north,northhigh
n1birds,Na,HumanObservation,6,6,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,MH,Event,Na,north,northlow
n1birds,Na,HumanObservation,2,2,individuals,present,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Na,species,MH,Event,Na,north,northlow
n1birds,Na,HumanObservation,1,1,individuals,present,Corvus corone,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corone,Na,species,MH,Event,Na,north,northlow
n1birds,Na,HumanObservation,1,1,individuals,present,Prunella modularis,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,Na,species,MH,Event,Na,north,northlow
n2birds,Na,HumanObservation,7,7,individuals,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,Na,species,MH,Event,Na,north,northmid
n2birds,Na,HumanObservation,2,2,individuals,present,Corvus corax,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,Na,species,MH,Event,Na,north,northmid
n2birds,Na,HumanObservation,1,1,individuals,present,Oenanthe oenanthe,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe oenanthe,Na,species,MH,Event,Na,north,northmid
n2birds,Na,HumanObservation,3,3,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,MH,Event,Na,north,northmid
n3birds,Na,HumanObservation,1,1,individuals,present,Falco tinnunculus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,Na,species,MH,Event,Na,north,northhigh
n3birds,Na,HumanObservation,2,2,individuals,present,Corvus corax,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,Na,species,MH,Event,Na,north,northhigh
n3birds,Na,HumanObservation,3,3,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,MH,Event,Na,north,northhigh
n3birds,Na,HumanObservation,1,1,individuals,present,Circus cyaneus,Animalia,Chordata,Aves,Accipitriformes,Accipitridrae,Circus,Circus cyaneus,Na,species,MH,Event,Na,north,northhigh
s1birds,Na,HumanObservation,2,2,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,AJ,Event,Na,south,southlow
s1birds,Na,HumanObservation,2,2,individuals,present,Prunella modularis,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,Na,species,AJ,Event,Na,south,southlow
s1birds,Na,HumanObservation,5,5,individuals,present,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Na,species,AJ,Event,Na,south,southlow
