eventID,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitudeSTART,decimalLongitudeSTART,decimalLatitudeEND,decimalLongitudeEND,geodeticDatum,coordinateUncertaintyInMeters,type,ownerInstitutionCode
north1,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-12/13,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.704196,-5.28021,,,WGS84,3,event,
north2,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-12/13,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.704331,-5.279301,,,WGS85,3,event,
north3,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-12/13,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.704735,-5.278535,,,WGS86,3,event,
north4,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-13/14,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.704708,-5.277818,,,WGS87,3,event,
north5,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-13/14,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.705301,-5.277722,,,WGS88,3,event,
north6,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-13/14,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.706299,-5.277722,,,WGS89,3,event,
north7,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-14/15,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.706784,-5.278105,,,WGS90,3,event,
north8,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-14/15,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.707026,-5.2782,,,WGS91,3,event,
north9,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-14/15,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.70743,-5.278679,,,WGS92,3,event,
south1,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-12/13,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.700019,-5.285472,,,WGS93,3,event,
south2,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-12/13,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.699749,-5.285472,,,WGS94,3,event,
south3,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-12/13,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.699507,-5.28552,,,WGS95,3,event,
south4,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-13/14,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.699453,-5.286524,,,WGS96,3,event,
south5,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-13/14,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.699152,-5.285376,,,WGS97,3,event,
south6,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-13/14,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.698348,-5.286094,,,WGS98,3,event,
south7,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-14/15,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.698078,-5.287385,,,WGS99,3,event,
south8,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-14/15,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.697971,-5.288007,,,WGS100,3,event,
south9,Camera trapping,Left trap for 24 hours,24,Hours,2023-09-14/15,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.697836,-5.287959,,,WGS101,3,event,
